time,wind_speed,wind_direction,power,density,temperature,pressure
2007-01-11 05:00:00+00:00,9.968027,357.87473,11.122878,1.2531914,260.63315,95267.945
2007-01-11 06:00:00+00:00,9.654308,353.23828,10.379891,1.2616554,259.34042,95392.23
2007-01-11 07:00:00+00:00,8.5993185,342.51883,7.728153,1.2666287,259.72253,95511.48
2007-01-11 08:00:00+00:00,8.006401,335.3445,6.203152,1.2706951,259.50912,95655.46
2007-01-11 09:00:00+00:00,8.813855,335.1614,8.269654,1.2750409,258.59692,95782.56
2007-01-11 10:00:00+00:00,9.410238,334.64536,9.87975,1.2805759,257.37573,95906.47
2007-01-11 11:00:00+00:00,9.6989355,338.06192,10.651117,1.2877744,256.42404,96056.086
2007-01-11 12:00:00+00:00,10.397792,339.4609,12.036891,1.2962183,255.36147,96214.625
2007-01-11 13:00:00+00:00,11.3714,344.7872,13.522134,1.3057805,253.99805,96355.93
2007-01-11 14:00:00+00:00,11.883929,347.4137,13.77144,1.3133646,253.43822,96505.47
2007-01-11 15:00:00+00:00,11.24681,351.21326,13.4054985,1.3196378,252.77116,96643.1
2007-01-11 16:00:00+00:00,10.045917,352.80582,11.663045,1.3239486,252.35179,96766.85
2007-01-11 17:00:00+00:00,8.779116,345.25986,8.494618,1.3262653,252.31792,96866.66
2007-01-11 18:00:00+00:00,8.434487,338.98508,7.5917544,1.3298349,252.01399,96967.37
2007-01-11 19:00:00+00:00,8.958055,335.70883,9.000783,1.3313304,251.84795,97031.0
2007-01-11 20:00:00+00:00,9.03463,332.30704,9.212527,1.3314761,251.91455,97095.85
2007-01-11 21:00:00+00:00,8.932159,332.21634,8.942431,1.3314517,251.92421,97157.27
2007-01-11 22:00:00+00:00,9.179622,334.4944,9.603477,1.3324168,251.68694,97218.53
2007-01-11 23:00:00+00:00,9.01427,334.60464,9.17951,1.3357023,250.78365,97316.414
2007-01-12 00:00:00+00:00,8.415164,337.29483,7.576985,1.3384894,250.56139,97411.72
2007-01-12 01:00:00+00:00,8.233327,340.25278,7.1447206,1.3407892,250.1133,97494.805
2007-01-12 02:00:00+00:00,8.16479,178.8813,7.203834,1.3461558,249.2967,97556.98
2007-01-12 03:00:00+00:00,7.38825,353.66483,5.3859534,1.3531531,248.30025,97628.555
2007-01-12 04:00:00+00:00,6.357207,346.6194,3.2521455,1.3575606,247.85364,97699.81
2007-01-12 05:00:00+00:00,6.7487316,342.55154,3.936555,1.3595928,247.5996,97753.22
2007-01-12 06:00:00+00:00,7.962896,340.33975,6.5231233,1.3613092,247.45587,97801.37
2007-01-12 07:00:00+00:00,7.2974076,337.6381,5.01443,1.3636394,247.04134,97861.41
2007-01-12 08:00:00+00:00,7.4317226,334.99463,5.318786,1.3644524,246.75197,97915.34
2007-01-12 09:00:00+00:00,7.280435,334.99478,5.0334654,1.3647434,246.51093,97963.1
2007-01-12 10:00:00+00:00,5.9094768,327.50558,2.598213,1.3639446,245.74274,97996.6
2007-01-12 11:00:00+00:00,6.134209,324.39957,3.0932286,1.3635188,245.59727,98047.72
2007-01-12 12:00:00+00:00,7.4069037,329.2693,5.3948746,1.3638824,245.80281,98087.695
2007-01-12 13:00:00+00:00,5.5755115,321.0775,2.2025,1.3646075,245.47139,98124.32
2007-01-12 14:00:00+00:00,5.081383,306.39853,1.5705351,1.3647375,245.16869,98145.15
2007-01-12 15:00:00+00:00,3.8165934,298.2966,0.5237542,1.3661455,246.67601,98159.414
2007-01-12 16:00:00+00:00,3.0607636,290.27737,0.11073292,1.3645844,248.26173,98185.13
2007-01-12 17:00:00+00:00,3.106036,286.41837,0.12495134,1.3605732,249.05675,98177.57
2007-01-12 18:00:00+00:00,3.3453848,285.1508,0.2452031,1.355023,250.05623,98155.68
2007-01-12 19:00:00+00:00,3.6917734,273.70956,0.42255726,1.3505429,250.8619,98140.414
2007-01-12 20:00:00+00:00,3.9875057,264.97806,0.5905585,1.3476807,251.28078,98123.94
2007-01-12 21:00:00+00:00,3.6825845,249.56073,0.41511145,1.3453474,250.94647,98099.22
2007-01-12 22:00:00+00:00,4.8682046,243.22961,1.337643,1.3445507,248.5501,98060.086
2007-01-12 23:00:00+00:00,5.810993,231.7087,2.4526992,1.3432698,247.65337,98053.44
2007-01-13 00:00:00+00:00,7.1571116,233.32361,4.6410336,1.3424106,247.40718,98051.16
2007-01-13 01:00:00+00:00,7.8669276,230.34288,6.2169766,1.3412763,247.1346,98037.57
2007-01-13 02:00:00+00:00,8.754243,226.67107,8.4994755,1.3382624,247.10674,97998.9
2007-01-13 03:00:00+00:00,8.940436,230.51744,8.989818,1.3354644,247.09294,97943.43
2007-01-13 04:00:00+00:00,9.353494,232.75787,10.050877,1.3319374,247.20209,97898.03
2007-01-13 05:00:00+00:00,10.043964,231.49059,11.755069,1.3286884,247.44936,97848.97
2007-01-13 06:00:00+00:00,10.751704,230.21284,12.935893,1.3258045,247.73076,97803.5
2007-01-13 07:00:00+00:00,11.190624,230.98962,13.489995,1.3225642,247.95152,97757.414
2007-01-13 08:00:00+00:00,10.65075,229.44942,12.770162,1.3223689,248.23479,97711.79
2007-01-13 09:00:00+00:00,11.051609,230.05302,13.297847,1.320836,248.79036,97661.28
2007-01-13 10:00:00+00:00,11.700374,232.31795,13.726035,1.3167174,249.30896,97595.74
2007-01-13 11:00:00+00:00,12.122777,235.26135,13.882954,1.3128508,250.06213,97550.875
2007-01-13 12:00:00+00:00,11.642167,237.618,13.695619,1.3116454,249.53905,97519.22
2007-01-13 13:00:00+00:00,10.845944,234.24898,12.9946165,1.3125755,249.5848,97474.66
2007-01-13 14:00:00+00:00,10.561561,233.32423,12.600755,1.3135653,249.7561,97424.305
2007-01-13 15:00:00+00:00,10.209766,235.73572,11.935699,1.3123027,252.84361,97374.94
2007-01-13 16:00:00+00:00,9.068124,238.1628,9.134836,1.3046938,256.7604,97334.27
2007-01-13 17:00:00+00:00,7.678549,240.67279,5.626735,1.2989366,258.4106,97275.91
2007-01-13 18:00:00+00:00,7.0424438,239.21248,4.221323,1.2941076,259.28015,97201.37
2007-01-13 19:00:00+00:00,6.945539,238.68452,4.0424266,1.2889135,260.1619,97147.125
2007-01-13 20:00:00+00:00,6.9117126,241.7841,3.9775522,1.2854356,260.53348,97118.28
2007-01-13 21:00:00+00:00,6.986187,243.69536,4.0959,1.2841524,258.57138,97122.09
2007-01-13 22:00:00+00:00,7.1711516,253.2711,4.430848,1.2840563,255.28119,97142.16
2007-01-13 23:00:00+00:00,7.024946,266.2028,4.1768985,1.2846974,253.69368,97195.57
2007-01-14 00:00:00+00:00,6.319141,288.3085,3.034096,1.2880334,252.99963,97260.414
2007-01-14 01:00:00+00:00,5.4170876,322.2336,1.8271757,1.2933408,252.52177,97325.195
2007-01-14 02:00:00+00:00,6.874804,151.40044,4.2112904,1.2933486,252.16528,97381.66
2007-01-14 03:00:00+00:00,11.677678,30.924643,13.4049,1.30479,251.71385,97453.836
2007-01-14 04:00:00+00:00,11.348645,36.408436,13.539382,1.3182793,252.56245,97550.27
2007-01-14 05:00:00+00:00,10.190648,31.630936,11.88457,1.3281226,251.52826,97636.48
2007-01-14 06:00:00+00:00,9.332966,31.613045,10.017739,1.3345813,250.58977,97707.9
2007-01-14 07:00:00+00:00,8.830426,30.967447,8.70398,1.338066,249.92651,97768.94
2007-01-14 08:00:00+00:00,8.987573,33.643547,9.129176,1.3416086,249.74849,97843.164
2007-01-14 09:00:00+00:00,7.8458276,35.221897,6.1726546,1.3449084,250.86499,97922.98
2007-01-14 10:00:00+00:00,6.8809547,31.585886,4.114965,1.3489089,250.41406,97981.875
2007-01-14 11:00:00+00:00,6.2171483,29.892075,2.9934533,1.3514357,250.25484,98048.63
